surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
no,adult,38.7,52.0,20.0,warm,,normal pink,<3,alert no pain,hypermotile,none,none,none,,normal,normal,33.0,77.0,,,lived,no
yes,adult,,,,cool,reduced,pale pink,meaning unknown,continuous severe pain,hypomotile,moderate,significant,>1l,,absent,distended large intestine,46.0,5.9,,,died,yes
yes,adult,37.5,96.0,18.0,normal,reduced,dark cyanotic,>=3,intermittent mild pain,absent,slight,slight,<1l,5.0,,distended small intestine,69.0,8.9,serosanguinous,,lived,yes
yes,adult,36.4,98.0,35.0,cool,reduced,pale cyanotic,<3,intermittent severe pain,hypomotile,slight,,,,absent,distended small intestine,47.0,6.4,serosanguinous,3.6,died,yes
yes,adult,37.3,40.0,,,reduced,normal pink,<3,depressed,hypomotile,slight,significant,none,,decreased,distended large intestine,36.0,,serosanguinous,2.0,lived,yes
yes,young,38.1,100.0,80.0,cool,normal,bright pink,<3,intermittent mild pain,absent,none,,,,normal,,36.0,5.7,,,lived,yes
yes,adult,38.0,,24.0,cool,reduced,dark cyanotic,>=3,continuous severe pain,,severe,none,none,,,,68.0,7.8,,,died,yes
yes,adult,37.8,60.0,80.0,normal,reduced,bright pink,>=3,depressed,hypomotile,moderate,,>1l,5.5,absent,,40.0,4.5,cloudy,,lived,yes
no,adult,38.0,54.0,30.0,warm,reduced,pale pink,meaning unknown,intermittent mild pain,hypermotile,slight,slight,>1l,,,distended small intestine,45.0,6.2,,,lived,no
yes,adult,,88.0,40.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,moderate,significant,,,absent,distended large intestine,50.0,7.7,serosanguinous,1.4,died,yes
no,adult,,40.0,16.0,,,,<3,,,,,,,,,50.0,7.0,cloudy,3.9,euthanized,yes
no,adult,39.0,64.0,40.0,normal,normal,bright red,<3,intermittent mild pain,hypomotile,slight,slight,none,,decreased,firm feces in large intestine,42.0,7.5,cloudy,2.3,lived,no
no,adult,38.3,42.0,10.0,normal,normal,normal pink,<3,alert no pain,hypermotile,none,,,,,,38.0,61.0,,,lived,no
no,adult,38.0,52.0,16.0,,,,,depressed,,,,<1l,1.0,normal,normal,53.0,86.0,,,lived,yes
no,adult,40.3,114.0,36.0,cool,reduced,normal pink,>=3,depressed,hypomotile,moderate,slight,none,7.0,normal,distended large intestine,57.0,8.1,serosanguinous,4.5,died,yes
no,adult,38.8,50.0,20.0,cool,normal,normal pink,<3,alert no pain,hypermotile,none,slight,none,,decreased,normal,42.0,6.2,,,lived,no
no,adult,,,,cool,reduced,normal pink,<3,continuous severe pain,hypomotile,moderate,none,none,,absent,distended large intestine,38.0,6.5,,,died,yes
no,adult,37.5,48.0,30.0,cold,normal,pale pink,<3,,normal,none,none,none,,normal,normal,48.0,8.6,,,lived,no
yes,adult,37.3,48.0,20.0,,normal,bright pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,,decreased,distended large intestine,41.0,69.0,,,lived,yes
no,adult,,84.0,36.0,,,pale pink,<3,,hypomotile,none,slight,none,,decreased,other,44.0,8.5,,,lived,yes
yes,adult,38.1,88.0,32.0,cool,reduced,pale cyanotic,<3,depressed,hypomotile,moderate,,<1l,1.0,absent,distended large intestine,55.0,60.0,,,euthanized,no
no,adult,37.7,44.0,40.0,warm,normal,pale pink,<3,alert no pain,hypomotile,slight,none,none,,normal,distended large intestine,41.0,60.0,,,lived,no
no,adult,39.6,108.0,51.0,cool,reduced,dark cyanotic,>=3,depressed,absent,moderate,none,>1l,,decreased,distended large intestine,59.0,8.0,cloudy,2.6,lived,no
yes,adult,38.2,40.0,16.0,cool,reduced,normal pink,<3,alert no pain,hypomotile,,,,,normal,normal,34.0,66.0,,,lived,no
yes,adult,,60.0,20.0,cold,reduced,pale cyanotic,>=3,continuous severe pain,absent,,,none,,absent,distended large intestine,,,,,euthanized,yes
no,adult,38.3,40.0,16.0,cool,,normal pink,<3,depressed,,,,,,,,37.0,57.0,,,lived,no
yes,young,38.0,140.0,68.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,,,,increased,normal,39.0,5.3,,,lived,yes
yes,adult,37.8,52.0,24.0,normal,reduced,pale pink,<3,intermittent severe pain,absent,none,slight,<1l,5.7,increased,distended large intestine,48.0,6.6,clear,3.7,died,yes
yes,adult,,70.0,36.0,normal,,pale pink,>=3,depressed,hypomotile,slight,slight,,,absent,distended large intestine,36.0,7.3,,,lived,yes
yes,adult,38.3,52.0,96.0,,reduced,pale pink,<3,,,,none,none,,normal,,43.0,6.1,,,lived,yes
no,adult,37.3,50.0,32.0,normal,normal,pale pink,<3,alert no pain,hypomotile,slight,,,,normal,,44.0,7.0,,,lived,no
yes,adult,38.7,60.0,32.0,cold,reduced,bright pink,>=3,intermittent severe pain,absent,severe,,,,absent,distended large intestine,53.0,64.0,serosanguinous,2.0,euthanized,yes
yes,young,38.4,84.0,40.0,cool,reduced,bright pink,<3,intermittent mild pain,hypomotile,moderate,none,none,,,,36.0,6.6,cloudy,2.8,died,yes
yes,adult,,70.0,16.0,cool,absent,bright red,>=3,depressed,hypomotile,slight,slight,none,,absent,distended large intestine,60.0,7.5,,,died,yes
yes,adult,38.3,40.0,16.0,cool,,,<3,alert no pain,hypomotile,slight,,,,,,38.0,58.0,clear,2.0,lived,yes
yes,adult,,40.0,,warm,normal,normal pink,<3,alert no pain,hypomotile,none,none,none,,,distended large intestine,39.0,56.0,,,lived,yes
yes,adult,36.8,60.0,28.0,,,,,,,,,,,,,,,,10.0,died,yes
yes,adult,38.4,44.0,24.0,cool,,pale cyanotic,,continuous severe pain,absent,moderate,slight,none,,absent,distended large intestine,50.0,77.0,,,lived,yes
no,adult,,,40.0,cool,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,,,,,,45.0,70.0,,,lived,no
yes,adult,38.0,44.0,12.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,,absent,distended large intestine,42.0,65.0,,,lived,yes
no,adult,39.5,,,cool,reduced,pale cyanotic,>=3,intermittent mild pain,absent,moderate,,<1l,5.5,absent,distended large intestine,,6.7,clear,,euthanized,yes
yes,adult,36.5,78.0,30.0,normal,,normal pink,<3,continuous severe pain,hypomotile,none,,none,,,,34.0,75.0,cloudy,1.0,lived,yes
no,adult,38.1,56.0,20.0,warm,normal,bright pink,<3,alert no pain,hypomotile,none,none,none,,,,46.0,70.0,,,lived,no
yes,adult,39.4,54.0,66.0,normal,normal,bright pink,<3,depressed,hypomotile,slight,none,none,,decreased,distended small intestine,39.0,6.0,cloudy,,lived,yes
yes,adult,38.3,80.0,40.0,,,dark cyanotic,>=3,intermittent severe pain,hypomotile,none,,>1l,,normal,distended small intestine,67.0,10.2,cloudy,1.0,euthanized,yes
no,adult,38.7,40.0,28.0,warm,normal,normal pink,<3,intermittent mild pain,hypermotile,none,,,,normal,,39.0,62.0,clear,1.0,lived,no
yes,adult,38.2,64.0,24.0,normal,normal,pale pink,<3,intermittent severe pain,absent,moderate,slight,none,,absent,distended small intestine,45.0,7.5,clear,2.0,died,yes
no,adult,37.6,48.0,20.0,cool,normal,pale cyanotic,<3,alert no pain,hypermotile,moderate,slight,none,,normal,normal,37.0,5.5,,,euthanized,yes
yes,adult,38.0,42.0,68.0,cold,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,slight,>1l,,absent,distended small intestine,41.0,7.6,,,lived,yes
yes,adult,38.7,,,cool,normal,pale pink,<3,continuous severe pain,absent,slight,,,,,,33.0,6.5,cloudy,,lived,yes
yes,adult,37.4,50.0,32.0,cool,reduced,,<3,intermittent severe pain,absent,none,slight,none,,normal,,45.0,7.9,cloudy,1.0,lived,yes
yes,adult,37.4,84.0,20.0,,,pale pink,<3,depressed,hypomotile,moderate,,,,,,31.0,61.0,,1.0,euthanized,no
yes,adult,38.4,49.0,,,,normal pink,<3,,,none,slight,none,,,,44.0,7.6,,,lived,yes
yes,adult,37.8,30.0,12.0,,,,,,,,,,,,,,,,,died,yes
no,adult,37.6,88.0,36.0,cool,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,<1l,1.5,,,44.0,6.0,,,died,yes
,adult,38.0,48.0,20.0,cool,normal,pale pink,<3,intermittent severe pain,hypomotile,none,slight,none,,decreased,distended large intestine,43.0,73.0,cloudy,1.0,,yes
no,adult,37.9,40.0,24.0,normal,normal,normal pink,<3,depressed,hypomotile,none,,,,,firm feces in large intestine,40.0,5.7,,,lived,yes
yes,adult,,100.0,,cool,,pale cyanotic,>=3,continuous severe pain,absent,,slight,,,increased,,59.0,6.3,,,died,yes
yes,young,38.1,136.0,48.0,cool,reduced,pale pink,<3,continuous severe pain,hypermotile,moderate,slight,>1l,4.4,increased,,33.0,4.9,cloudy,2.9,died,yes
yes,adult,,,,cool,reduced,pale pink,>=3,continuous severe pain,hypomotile,moderate,significant,>1l,,absent,distended large intestine,46.0,5.9,,,died,yes
yes,adult,38.0,48.0,,normal,normal,normal pink,<3,alert no pain,normal,severe,slight,>1l,,absent,distended large intestine,,,,,lived,yes
no,adult,38.0,56.0,,normal,increased,pale pink,<3,alert no pain,hypermotile,none,none,none,,normal,normal,42.0,71.0,,,lived,no
no,adult,38.0,60.0,32.0,normal,normal,,<3,intermittent mild pain,hypomotile,,none,none,,,,50.0,7.0,clear,1.0,lived,no
yes,adult,38.1,44.0,9.0,cool,normal,normal pink,<3,depressed,normal,none,none,none,,absent,distended large intestine,31.0,7.3,,,lived,no
no,adult,36.0,42.0,30.0,,,bright red,<3,,,,,,,,,64.0,6.8,,,died,no
yes,adult,,120.0,,cold,reduced,dark cyanotic,>=3,continuous severe pain,absent,severe,,,,absent,distended large intestine,57.0,4.5,serosanguinous,3.9,died,yes
yes,adult,37.8,48.0,28.0,normal,normal,normal pink,>=3,alert no pain,normal,none,slight,,,normal,normal,46.0,5.9,cloudy,7.0,lived,no
yes,adult,37.1,84.0,40.0,cool,reduced,dark cyanotic,<3,depressed,absent,severe,significant,>1l,2.0,absent,distended large intestine,75.0,81.0,,,euthanized,no
no,adult,,80.0,32.0,cool,reduced,bright pink,<3,depressed,hypomotile,moderate,slight,none,,decreased,,50.0,80.0,,,lived,yes
yes,adult,38.2,48.0,,normal,reduced,pale pink,<3,intermittent mild pain,absent,severe,none,<1l,2.0,absent,distended large intestine,42.0,71.0,,,lived,yes
no,adult,38.0,44.0,12.0,warm,normal,pale pink,<3,intermittent mild pain,absent,moderate,none,>1l,6.5,normal,distended small intestine,33.0,6.5,,,died,yes
yes,adult,38.3,132.0,,,reduced,dark cyanotic,>=3,depressed,absent,slight,slight,<1l,6.2,absent,distended small intestine,57.0,8.0,,5.2,lived,yes
no,adult,38.7,48.0,24.0,,,,,alert no pain,hypermotile,,none,none,,normal,,34.0,63.0,,,lived,no
no,adult,38.9,44.0,14.0,cool,normal,normal pink,<3,depressed,hypomotile,slight,,,,,other,33.0,64.0,,,lived,no
yes,adult,39.3,,,cold,reduced,dark cyanotic,>=3,intermittent severe pain,absent,slight,none,<1l,4.0,absent,distended small intestine,75.0,,serosanguinous,4.3,died,yes
yes,adult,,100.0,,cool,reduced,pale cyanotic,>=3,,absent,severe,slight,none,2.0,,,68.0,64.0,serosanguinous,2.0,lived,yes
no,adult,38.6,48.0,20.0,cool,normal,normal pink,<3,alert no pain,hypomotile,slight,slight,none,,decreased,other,50.0,7.3,clear,,lived,no
no,adult,38.8,48.0,40.0,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,severe,slight,,,,distended large intestine,41.0,65.0,,,lived,yes
no,adult,38.0,48.0,20.0,cool,reduced,pale cyanotic,<3,alert no pain,absent,slight,slight,,5.0,,other,49.0,8.3,clear,,lived,no
no,adult,38.6,52.0,20.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,none,,normal,firm feces in large intestine,36.0,6.6,clear,5.0,lived,no
yes,adult,37.8,60.0,24.0,normal,,pale pink,>=3,,absent,severe,slight,<1l,2.0,,distended large intestine,52.0,75.0,,,euthanized,yes
no,adult,38.0,42.0,40.0,cool,normal,normal pink,<3,intermittent mild pain,hypomotile,none,,,,,,,,,,lived,no
no,adult,,,12.0,normal,normal,bright pink,<3,depressed,hypermotile,slight,significant,none,,normal,firm feces in large intestine,44.0,7.5,cloudy,,lived,no
yes,adult,,,,,,,,intermittent severe pain,,,none,none,,,distended large intestine,35.0,58.0,cloudy,1.0,lived,yes
yes,adult,38.3,42.0,24.0,,,,<3,,,,,,,,,40.0,8.5,,,died,yes
no,adult,39.5,60.0,10.0,cool,,,>=3,intermittent mild pain,hypomotile,slight,slight,none,,decreased,,38.0,56.0,clear,,lived,no
yes,adult,38.0,66.0,20.0,normal,reduced,pale pink,<3,continuous severe pain,hypomotile,none,none,none,,decreased,,46.0,46.0,serosanguinous,2.0,euthanized,yes
yes,adult,38.7,76.0,,normal,normal,bright red,>=3,intermittent mild pain,hypomotile,slight,slight,>1l,,absent,distended small intestine,50.0,8.0,,,lived,yes
yes,adult,39.4,120.0,48.0,,,bright red,<3,,hypomotile,moderate,none,,,absent,,56.0,64.0,clear,2.0,euthanized,no
yes,adult,38.3,40.0,18.0,normal,normal,normal pink,<3,intermittent mild pain,hypermotile,none,,,,increased,normal,43.0,5.9,clear,,lived,no
no,adult,,44.0,24.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,none,slight,none,,,normal,,6.3,,,lived,no
yes,adult,38.4,104.0,40.0,normal,normal,pale pink,<3,depressed,absent,slight,slight,<1l,6.5,,distended small intestine,55.0,8.5,,,lived,yes
yes,adult,,65.0,24.0,,,,>=3,continuous severe pain,,severe,significant,none,,,distended large intestine,,,,,euthanized,yes
no,adult,37.5,44.0,20.0,normal,normal,pale pink,<3,,hypermotile,none,,,,normal,,35.0,7.2,,,lived,no
no,adult,39.0,86.0,16.0,cool,reduced,bright red,,intermittent mild pain,hypomotile,moderate,,>1l,,,,68.0,5.8,serosanguinous,6.0,died,yes
yes,adult,38.5,129.0,48.0,cool,reduced,pale pink,<3,depressed,absent,moderate,none,<1l,2.0,,,57.0,66.0,serosanguinous,2.0,lived,yes
yes,adult,,104.0,,cool,reduced,bright red,>=3,depressed,absent,moderate,,<1l,,absent,distended small intestine,69.0,8.6,cloudy,3.4,died,yes
no,adult,,,,cool,absent,dark cyanotic,,intermittent severe pain,,severe,,,,,,,,,,died,yes
yes,adult,,,,,,,,,,,,,,,,,,,,lived,yes
yes,adult,38.2,60.0,30.0,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,none,slight,none,,decreased,other,48.0,66.0,,,lived,yes
yes,adult,,68.0,14.0,,,pale cyanotic,<3,intermittent severe pain,,,,none,4.3,,,,,cloudy,2.8,died,yes
yes,adult,,60.0,30.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,none,none,,absent,,45.0,70.0,serosanguinous,2.0,lived,yes
no,adult,38.5,100.0,,cool,reduced,bright red,>=3,intermittent severe pain,hypomotile,severe,slight,none,,absent,distended large intestine,,,,,euthanized,no
yes,adult,38.4,84.0,30.0,cool,normal,bright red,>=3,intermittent severe pain,hypomotile,moderate,slight,<1l,6.5,absent,distended small intestine,47.0,7.5,serosanguinous,,died,yes
no,adult,37.8,48.0,14.0,,,normal pink,<3,intermittent mild pain,,slight,none,<1l,5.3,normal,,35.0,7.5,,,lived,no
yes,adult,38.0,,24.0,cool,reduced,dark cyanotic,>=3,continuous severe pain,,severe,none,none,,,,68.0,7.8,,,died,yes
no,adult,37.8,56.0,16.0,normal,normal,bright pink,<3,depressed,hypermotile,none,slight,none,,normal,,44.0,68.0,clear,1.0,lived,no
no,adult,38.2,68.0,32.0,warm,increased,bright pink,<3,alert no pain,hypermotile,none,significant,none,,normal,normal,43.0,65.0,,,lived,no
yes,adult,38.5,120.0,60.0,cold,reduced,dark cyanotic,>=3,,hypomotile,,,,,,,54.0,,,,lived,yes
yes,adult,39.3,64.0,90.0,warm,reduced,normal pink,<3,,hypomotile,none,none,>1l,,,,39.0,6.7,,,lived,yes
