surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,,>=3,continuous severe pain,absent,severe,,,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,no
yes,young,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,>=3,intermittent severe pain,absent,moderate,significant,,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,dark cyanotic,,,hypomotile,moderate,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],(59; Inf],normal,normal,bright red,>=3,continuous severe pain,absent,severe,significant,none,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,pale cyanotic,,depressed,hypomotile,none,,,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,young,[-Inf; Inf],(58; Inf],(59; Inf],,reduced,,<3,depressed,absent,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale pink,<3,,absent,moderate,significant,>1l,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,,<3,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,pale pink,>=3,intermittent mild pain,hypomotile,moderate,slight,none,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,normal,normal pink,<3,,hypomotile,slight,none,none,[-Inf; Inf],normal,firm feces in large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,normal pink,<3,alert no pain,hypermotile,none,none,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,>1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,>=3,depressed,absent,slight,,<1l,[-Inf; Inf],decreased,firm feces in large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,<1l,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,pale pink,>=3,intermittent severe pain,absent,moderate,,<1l,[-Inf; Inf],,other,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,reduced,bright red,>=3,,,none,none,>1l,[-Inf; Inf],,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],euthanized,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,reduced,,<3,continuous severe pain,hypomotile,none,,none,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,none,[-Inf; Inf],normal,firm feces in large intestine,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
yes,young,[-Inf; Inf],(58; Inf],(59; Inf],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,dark cyanotic,>=3,continuous severe pain,hypomotile,moderate,none,<1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
no,young,[-Inf; Inf],(58; Inf],(59; Inf],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,pale pink,<3,intermittent mild pain,hypomotile,none,none,none,[-Inf; Inf],increased,other,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,absent,pale cyanotic,<3,intermittent severe pain,absent,severe,none,none,[-Inf; Inf],,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,>=3,intermittent severe pain,absent,,slight,none,[-Inf; Inf],,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],euthanized,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,none,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,,pale cyanotic,>=3,continuous severe pain,absent,severe,slight,>1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,alert no pain,hypermotile,none,none,none,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale pink,>=3,depressed,hypomotile,moderate,slight,>1l,[-Inf; Inf],decreased,normal,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,bright red,>=3,intermittent severe pain,hypermotile,slight,none,>1l,[-Inf; Inf],increased,normal,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],died,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,bright pink,<3,alert no pain,hypomotile,slight,none,none,[-Inf; Inf],,other,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,,pale pink,>=3,intermittent mild pain,hypomotile,slight,,,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,pale pink,<3,alert no pain,hypomotile,none,,,[-Inf; Inf],increased,other,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,,,<3,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,normal pink,>=3,depressed,hypomotile,moderate,slight,none,[-Inf; Inf],normal,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],euthanized,yes
yes,young,[-Inf; Inf],(58; Inf],[-Inf;59],cool,,bright red,<3,intermittent mild pain,hypomotile,severe,significant,,[-Inf; Inf],absent,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,,bright pink,<3,continuous severe pain,hypomotile,moderate,slight,>1l,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,pale pink,,continuous severe pain,absent,moderate,slight,,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale pink,>=3,continuous severe pain,absent,severe,none,>1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,pale pink,<3,depressed,hypermotile,,none,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,increased,normal pink,<3,alert no pain,normal,slight,slight,none,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],warm,normal,bright pink,<3,intermittent mild pain,,,slight,,[-Inf; Inf],absent,,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,pale cyanotic,>=3,depressed,absent,severe,none,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],euthanized,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,pale cyanotic,>=3,intermittent mild pain,hypomotile,slight,none,>1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,pale pink,<3,intermittent mild pain,hypomotile,slight,none,none,[-Inf; Inf],decreased,distended small intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,bright red,>=3,intermittent mild pain,hypomotile,none,none,<1l,[-Inf; Inf],decreased,distended small intestine,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,alert no pain,hypomotile,none,slight,none,[-Inf; Inf],decreased,other,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,,pale pink,<3,,,,slight,<1l,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,alert no pain,hypomotile,,none,none,[-Inf; Inf],decreased,other,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,,,<3,intermittent mild pain,,moderate,slight,>1l,[-Inf; Inf],absent,distended small intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,alert no pain,normal,none,slight,,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,bright red,<3,intermittent severe pain,hypomotile,none,slight,<1l,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],died,yes
yes,young,[-Inf; Inf],(58; Inf],[-Inf;59],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,young,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,bright red,>=3,depressed,hypomotile,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,reduced,normal pink,<3,intermittent mild pain,hypomotile,slight,,,[-Inf; Inf],decreased,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,,normal pink,<3,alert no pain,hypermotile,none,none,none,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale pink,meaning unknown,continuous severe pain,hypomotile,moderate,significant,>1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,reduced,dark cyanotic,>=3,intermittent mild pain,absent,slight,slight,<1l,[-Inf; Inf],,distended small intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,reduced,normal pink,<3,depressed,hypomotile,slight,significant,none,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],lived,yes
yes,young,[-Inf; Inf],(58; Inf],(59; Inf],cool,normal,bright pink,<3,intermittent mild pain,absent,none,,,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,dark cyanotic,>=3,continuous severe pain,,severe,none,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],(59; Inf],normal,reduced,bright pink,>=3,depressed,hypomotile,moderate,,>1l,[-Inf; Inf],absent,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,reduced,pale pink,meaning unknown,intermittent mild pain,hypermotile,slight,slight,>1l,[-Inf; Inf],,distended small intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,moderate,significant,,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,,,<3,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],euthanized,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,normal,bright red,<3,intermittent mild pain,hypomotile,slight,slight,none,[-Inf; Inf],decreased,firm feces in large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,alert no pain,hypermotile,none,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,,,,depressed,,,,<1l,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,normal pink,>=3,depressed,hypomotile,moderate,slight,none,[-Inf; Inf],normal,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,normal,normal pink,<3,alert no pain,hypermotile,none,slight,none,[-Inf; Inf],decreased,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,normal pink,<3,continuous severe pain,hypomotile,moderate,none,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cold,normal,pale pink,<3,,normal,none,none,none,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],,normal,bright pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,pale pink,<3,,hypomotile,none,slight,none,[-Inf; Inf],decreased,other,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,<3,depressed,hypomotile,moderate,,<1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,no
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,pale pink,<3,alert no pain,hypomotile,slight,none,none,[-Inf; Inf],normal,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,dark cyanotic,>=3,depressed,absent,moderate,none,>1l,[-Inf; Inf],decreased,distended large intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,reduced,normal pink,<3,alert no pain,hypomotile,,,,[-Inf; Inf],normal,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,pale cyanotic,>=3,continuous severe pain,absent,,,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],euthanized,yes
yes,young,[-Inf; Inf],(58; Inf],(59; Inf],normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,,,[-Inf; Inf],increased,normal,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,,pale pink,>=3,depressed,hypomotile,slight,slight,,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],[-Inf;58],(59; Inf],,reduced,pale pink,<3,,,,none,none,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,pale pink,<3,alert no pain,hypomotile,slight,,,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cold,reduced,bright pink,>=3,intermittent severe pain,absent,severe,,,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],serosanguinous,[-Inf; Inf],euthanized,yes
yes,young,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,bright pink,<3,intermittent mild pain,hypomotile,moderate,none,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,absent,bright red,>=3,depressed,hypomotile,slight,slight,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,,,<3,alert no pain,hypomotile,slight,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,,,,,,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],died,yes
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],cool,,pale cyanotic,,continuous severe pain,absent,moderate,slight,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,,,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],normal,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],(58; Inf],[-Inf;59],cool,reduced,pale cyanotic,>=3,intermittent mild pain,absent,moderate,,<1l,[-Inf; Inf],absent,distended large intestine,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],euthanized,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],normal,,normal pink,<3,continuous severe pain,hypomotile,none,,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,bright pink,<3,alert no pain,hypomotile,none,none,none,[-Inf; Inf],,,[-Inf; Inf],[-Inf; Inf],,[-Inf; Inf],lived,no
yes,adult,[-Inf; Inf],[-Inf;58],(59; Inf],normal,normal,bright pink,<3,depressed,hypomotile,slight,none,none,[-Inf; Inf],decreased,distended small intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],lived,yes
yes,adult,[-Inf; Inf],(58; Inf],[-Inf;59],,,dark cyanotic,>=3,intermittent severe pain,hypomotile,none,,>1l,[-Inf; Inf],normal,distended small intestine,[-Inf; Inf],[-Inf; Inf],cloudy,[-Inf; Inf],euthanized,yes
no,adult,[-Inf; Inf],[-Inf;58],[-Inf;59],warm,normal,normal pink,<3,intermittent mild pain,hypermotile,none,,,[-Inf; Inf],normal,,[-Inf; Inf],[-Inf; Inf],clear,[-Inf; Inf],lived,no
