surgery,Age,rectal_temperature,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_PH,rectal_examination,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdomcentesis_total_protein,outcome,surgical_lesion
yes,adult,37.6,64.0,21.0,normal,normal,bright pink,<3,depressed,hypomotile,none,none,none,4.96612903226,increased,distended large intestine,40.0,7.0,clear,2.93865546218,lived,yes
yes,adult,39.9,72.0,60.0,normal,normal,bright red,>=3,continuous severe pain,absent,severe,significant,none,4.96612903226,absent,distended small intestine,46.0,6.1,cloudy,2.93865546218,lived,yes
no,adult,38.4,48.0,16.0,normal,,normal pink,<3,alert no pain,hypomotile,none,slight,<1l,5.5,absent,firm feces in large intestine,49.0,6.8,,2.93865546218,lived,no
yes,adult,38.6,42.0,34.0,warm,normal,pale cyanotic,,depressed,hypomotile,none,,,4.96612903226,normal,,48.0,7.2,,2.93865546218,lived,yes
yes,young,38.3,130.0,60.0,,reduced,,<3,depressed,absent,,,,4.96612903226,,,50.0,70.0,,2.93865546218,lived,yes
yes,adult,38.1,60.0,12.0,cool,reduced,pale pink,<3,,absent,moderate,significant,>1l,2.0,,,51.0,65.0,,2.93865546218,lived,yes
no,adult,37.8,60.0,42.0,,,,<3,,,,,,4.96612903226,,,45.5872053872,24.9202749141,,2.93865546218,lived,no
yes,adult,38.3,72.0,30.0,cold,reduced,pale pink,>=3,intermittent mild pain,hypomotile,moderate,slight,none,4.96612903226,decreased,distended large intestine,43.0,7.0,cloudy,3.9,lived,yes
yes,adult,38.1351851852,70.591503268,30.4507575758,,,,,,,,,,4.96612903226,,,45.5872053872,24.9202749141,,2.93865546218,died,no
no,adult,37.7,48.0,30.4507575758,warm,normal,normal pink,<3,alert no pain,hypermotile,none,none,none,4.96612903226,,,45.0,76.0,,2.93865546218,lived,no
no,adult,37.7,96.0,30.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,>1l,4.0,absent,distended large intestine,66.0,7.5,,2.93865546218,died,yes
no,adult,37.2,108.0,12.0,cool,reduced,pale cyanotic,>=3,depressed,absent,slight,,<1l,6.0,decreased,firm feces in large intestine,52.0,8.2,serosanguinous,7.4,euthanized,yes
yes,adult,37.2,60.0,30.4507575758,warm,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,4.96612903226,absent,distended large intestine,43.0,6.6,,2.93865546218,lived,yes
yes,adult,38.2,64.0,28.0,normal,normal,normal pink,<3,intermittent mild pain,hypermotile,,,,4.96612903226,absent,distended small intestine,49.0,8.6,cloudy,6.6,lived,yes
yes,adult,38.1351851852,100.0,30.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,significant,<1l,4.96612903226,absent,distended small intestine,52.0,6.6,,2.93865546218,lived,yes
no,adult,38.1351851852,104.0,24.0,cold,reduced,pale pink,>=3,intermittent severe pain,absent,moderate,,<1l,4.96612903226,,other,73.0,8.4,,2.93865546218,euthanized,yes
no,adult,38.3,112.0,16.0,,reduced,bright red,>=3,,,none,none,>1l,4.96612903226,,distended large intestine,51.0,6.0,cloudy,1.0,euthanized,no
yes,adult,37.8,72.0,30.4507575758,,reduced,,<3,continuous severe pain,hypomotile,none,,none,4.96612903226,normal,normal,56.0,80.0,clear,2.0,lived,yes
no,adult,38.6,52.0,30.4507575758,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,none,4.96612903226,normal,firm feces in large intestine,32.0,6.6,clear,5.0,lived,no
yes,young,39.2,146.0,96.0,,,,,,,,,,4.96612903226,,,45.5872053872,24.9202749141,,2.93865546218,died,yes
yes,adult,38.1351851852,88.0,30.4507575758,cool,reduced,dark cyanotic,>=3,continuous severe pain,hypomotile,moderate,none,<1l,4.96612903226,absent,distended large intestine,63.0,6.5,serosanguinous,2.93865546218,died,yes
no,adult,38.0,60.0,12.0,cool,normal,pale pink,<3,intermittent mild pain,hypomotile,none,none,none,4.96612903226,increased,other,47.0,7.0,,2.93865546218,lived,no
yes,adult,38.1351851852,120.0,30.4507575758,cool,absent,pale cyanotic,<3,intermittent severe pain,absent,severe,none,none,4.96612903226,,distended large intestine,52.0,67.0,cloudy,2.0,euthanized,yes
yes,adult,35.4,140.0,24.0,cool,reduced,pale cyanotic,>=3,intermittent severe pain,absent,,slight,none,4.96612903226,,distended large intestine,57.0,69.0,serosanguinous,2.0,euthanized,yes
no,adult,38.1351851852,120.0,30.4507575758,cold,reduced,pale cyanotic,>=3,continuous severe pain,absent,severe,none,none,4.96612903226,absent,distended large intestine,60.0,6.5,serosanguinous,2.93865546218,died,yes
yes,adult,37.9,60.0,15.0,cool,,pale cyanotic,>=3,continuous severe pain,absent,severe,slight,>1l,4.96612903226,absent,distended large intestine,65.0,7.5,,2.93865546218,lived,yes
no,adult,37.5,48.0,16.0,normal,normal,normal pink,<3,alert no pain,hypermotile,none,none,none,4.96612903226,normal,,37.0,6.5,,2.93865546218,lived,no
yes,adult,38.9,80.0,44.0,cool,reduced,pale pink,>=3,depressed,hypomotile,moderate,slight,>1l,7.0,decreased,normal,54.0,6.5,serosanguinous,2.93865546218,died,yes
no,adult,37.2,84.0,48.0,cool,reduced,bright red,>=3,intermittent severe pain,hypermotile,slight,none,>1l,4.96612903226,increased,normal,73.0,5.5,cloudy,4.1,died,no
no,adult,38.6,46.0,30.4507575758,normal,normal,bright pink,<3,alert no pain,hypomotile,slight,none,none,4.96612903226,,other,49.0,9.1,clear,1.6,lived,no
yes,adult,37.4,84.0,36.0,normal,,pale pink,>=3,intermittent mild pain,hypomotile,slight,,,4.96612903226,absent,distended large intestine,45.5872053872,24.9202749141,serosanguinous,2.93865546218,died,yes
no,adult,38.1351851852,70.591503268,30.4507575758,normal,normal,pale pink,<3,alert no pain,hypomotile,none,,,4.96612903226,increased,other,43.0,7.7,,2.93865546218,lived,no
no,adult,38.6,40.0,20.0,,,,<3,,,,,,4.96612903226,,,41.0,6.4,,2.93865546218,lived,no
no,adult,40.3,114.0,36.0,cool,reduced,normal pink,>=3,depressed,hypomotile,moderate,slight,none,7.0,normal,distended large intestine,57.0,8.1,serosanguinous,4.5,euthanized,yes
yes,young,38.6,160.0,20.0,cool,,bright red,<3,intermittent mild pain,hypomotile,severe,significant,,4.96612903226,absent,,38.0,24.9202749141,cloudy,2.93865546218,died,yes
yes,adult,38.1351851852,70.591503268,30.4507575758,,,,,,,,,,4.96612903226,,,24.0,6.7,,2.93865546218,lived,yes
yes,adult,38.1351851852,64.0,36.0,warm,,bright pink,<3,continuous severe pain,hypomotile,moderate,slight,>1l,4.96612903226,,,42.0,7.7,,2.93865546218,died,yes
yes,adult,38.1351851852,70.591503268,20.0,cold,reduced,pale pink,,continuous severe pain,absent,moderate,slight,,4.96612903226,absent,distended small intestine,53.0,5.9,serosanguinous,2.93865546218,died,yes
no,adult,38.1351851852,96.0,30.4507575758,cool,reduced,pale pink,>=3,continuous severe pain,absent,severe,none,>1l,4.96612903226,absent,distended large intestine,60.0,24.9202749141,,2.93865546218,died,yes
no,adult,37.8,48.0,32.0,normal,normal,pale pink,<3,depressed,hypermotile,,none,none,4.96612903226,absent,distended large intestine,37.0,6.7,,2.93865546218,lived,no
no,adult,38.5,60.0,30.4507575758,warm,increased,normal pink,<3,alert no pain,normal,slight,slight,none,4.96612903226,normal,normal,44.0,7.7,,2.93865546218,lived,no
yes,adult,37.8,88.0,22.0,warm,normal,bright pink,<3,intermittent mild pain,,,slight,,4.96612903226,absent,,64.0,8.0,clear,6.0,died,yes
no,adult,38.2,130.0,16.0,cold,reduced,pale cyanotic,>=3,depressed,absent,severe,none,none,4.96612903226,,,65.0,82.0,cloudy,2.0,euthanized,no
yes,adult,39.0,64.0,36.0,cool,normal,pale cyanotic,>=3,intermittent mild pain,hypomotile,slight,none,>1l,7.0,absent,distended large intestine,44.0,7.5,serosanguinous,5.0,lived,yes
yes,adult,38.1351851852,60.0,36.0,cool,normal,pale pink,<3,intermittent mild pain,hypomotile,slight,none,none,4.96612903226,decreased,distended small intestine,26.0,72.0,cloudy,1.0,lived,yes
no,adult,37.9,72.0,30.4507575758,normal,normal,bright red,>=3,intermittent mild pain,hypomotile,none,none,<1l,2.0,decreased,distended small intestine,58.0,74.0,clear,2.0,lived,yes
no,adult,38.4,54.0,24.0,normal,normal,normal pink,<3,alert no pain,hypomotile,none,slight,none,4.96612903226,decreased,other,49.0,7.2,clear,2.93865546218,lived,no
no,adult,38.1351851852,52.0,16.0,normal,,pale pink,<3,,,,slight,<1l,5.5,,,55.0,7.2,,2.93865546218,lived,no
no,adult,38.0,48.0,12.0,normal,normal,normal pink,<3,alert no pain,hypomotile,,none,none,4.96612903226,decreased,other,42.0,6.3,cloudy,4.1,lived,no
no,adult,37.0,60.0,20.0,cool,,,<3,intermittent mild pain,,moderate,slight,>1l,4.5,absent,distended small intestine,43.0,7.6,,2.93865546218,euthanized,yes
yes,adult,37.7,56.0,30.4507575758,,,,,,,,,,4.96612903226,,,45.5872053872,24.9202749141,,2.93865546218,died,yes
yes,adult,38.1,52.0,24.0,normal,normal,bright red,<3,intermittent severe pain,hypomotile,none,slight,<1l,7.0,normal,,54.0,7.5,cloudy,2.6,died,yes
yes,young,38.1351851852,70.591503268,30.4507575758,,,,,,,,,,4.96612903226,,,37.0,4.9,,2.93865546218,died,yes
yes,young,39.7,100.0,30.4507575758,cool,reduced,bright red,>=3,depressed,hypomotile,,,,4.96612903226,,,48.0,57.0,cloudy,2.0,euthanized,yes
yes,adult,37.6,38.0,20.0,cool,reduced,normal pink,<3,intermittent mild pain,hypomotile,slight,,,4.96612903226,decreased,,37.0,68.0,,2.93865546218,lived,yes
no,adult,38.7,52.0,20.0,warm,,normal pink,<3,alert no pain,hypermotile,none,none,none,4.96612903226,normal,normal,33.0,77.0,,2.93865546218,lived,no
yes,adult,38.1351851852,70.591503268,30.4507575758,cool,reduced,pale pink,meaning unknown,continuous severe pain,hypomotile,moderate,significant,>1l,4.96612903226,absent,distended large intestine,46.0,5.9,,2.93865546218,died,yes
yes,adult,37.5,96.0,18.0,normal,reduced,dark cyanotic,>=3,intermittent mild pain,absent,slight,slight,<1l,5.0,,distended small intestine,69.0,8.9,serosanguinous,2.93865546218,lived,yes
yes,adult,36.4,98.0,35.0,cool,reduced,pale cyanotic,<3,intermittent severe pain,hypomotile,slight,,,4.96612903226,absent,distended small intestine,47.0,6.4,serosanguinous,3.6,died,yes
yes,adult,37.3,40.0,30.4507575758,,reduced,normal pink,<3,depressed,hypomotile,slight,significant,none,4.96612903226,decreased,distended large intestine,36.0,24.9202749141,serosanguinous,2.0,lived,yes
yes,young,38.1,100.0,80.0,cool,normal,bright pink,<3,intermittent mild pain,absent,none,,,4.96612903226,normal,,36.0,5.7,,2.93865546218,lived,yes
yes,adult,38.0,70.591503268,24.0,cool,reduced,dark cyanotic,>=3,continuous severe pain,,severe,none,none,4.96612903226,,,68.0,7.8,,2.93865546218,died,yes
yes,adult,37.8,60.0,80.0,normal,reduced,bright pink,>=3,depressed,hypomotile,moderate,,>1l,5.5,absent,,40.0,4.5,cloudy,2.93865546218,lived,yes
no,adult,38.0,54.0,30.0,warm,reduced,pale pink,meaning unknown,intermittent mild pain,hypermotile,slight,slight,>1l,4.96612903226,,distended small intestine,45.0,6.2,,2.93865546218,lived,no
yes,adult,38.1351851852,88.0,40.0,cool,reduced,pale cyanotic,>=3,continuous severe pain,absent,moderate,significant,,4.96612903226,absent,distended large intestine,50.0,7.7,serosanguinous,1.4,died,yes
no,adult,38.1351851852,40.0,16.0,,,,<3,,,,,,4.96612903226,,,50.0,7.0,cloudy,3.9,euthanized,yes
no,adult,39.0,64.0,40.0,normal,normal,bright red,<3,intermittent mild pain,hypomotile,slight,slight,none,4.96612903226,decreased,firm feces in large intestine,42.0,7.5,cloudy,2.3,lived,no
no,adult,38.3,42.0,10.0,normal,normal,normal pink,<3,alert no pain,hypermotile,none,,,4.96612903226,,,38.0,61.0,,2.93865546218,lived,no
no,adult,38.0,52.0,16.0,,,,,depressed,,,,<1l,1.0,normal,normal,53.0,86.0,,2.93865546218,lived,yes
no,adult,38.8,50.0,20.0,cool,normal,normal pink,<3,alert no pain,hypermotile,none,slight,none,4.96612903226,decreased,normal,42.0,6.2,,2.93865546218,lived,no
no,adult,37.5,48.0,30.0,cold,normal,pale pink,<3,,normal,none,none,none,4.96612903226,normal,normal,48.0,8.6,,2.93865546218,lived,no
yes,adult,37.3,48.0,20.0,,normal,bright pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,4.96612903226,decreased,distended large intestine,41.0,69.0,,2.93865546218,lived,yes
yes,adult,38.1,88.0,32.0,cool,reduced,pale cyanotic,<3,depressed,hypomotile,moderate,,<1l,1.0,absent,distended large intestine,55.0,60.0,,2.93865546218,euthanized,no
no,adult,37.7,44.0,40.0,warm,normal,pale pink,<3,alert no pain,hypomotile,slight,none,none,4.96612903226,normal,distended large intestine,41.0,60.0,,2.93865546218,lived,no
no,adult,39.6,108.0,51.0,cool,reduced,dark cyanotic,>=3,depressed,absent,moderate,none,>1l,4.96612903226,decreased,distended large intestine,59.0,8.0,cloudy,2.6,lived,no
yes,adult,38.2,40.0,16.0,cool,reduced,normal pink,<3,alert no pain,hypomotile,,,,4.96612903226,normal,normal,34.0,66.0,,2.93865546218,lived,no
yes,adult,38.1351851852,60.0,20.0,cold,reduced,pale cyanotic,>=3,continuous severe pain,absent,,,none,4.96612903226,absent,distended large intestine,45.5872053872,24.9202749141,,2.93865546218,euthanized,yes
no,adult,38.3,40.0,16.0,cool,,normal pink,<3,depressed,,,,,4.96612903226,,,37.0,57.0,,2.93865546218,lived,no
yes,young,38.0,140.0,68.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,,,4.96612903226,increased,normal,39.0,5.3,,2.93865546218,lived,yes
yes,adult,37.8,52.0,24.0,normal,reduced,pale pink,<3,intermittent severe pain,absent,none,slight,<1l,5.7,increased,distended large intestine,48.0,6.6,clear,3.7,died,yes
yes,adult,38.3,52.0,96.0,,reduced,pale pink,<3,,,,none,none,4.96612903226,normal,,43.0,6.1,,2.93865546218,lived,yes
no,adult,37.3,50.0,32.0,normal,normal,pale pink,<3,alert no pain,hypomotile,slight,,,4.96612903226,normal,,44.0,7.0,,2.93865546218,lived,no
yes,young,38.4,84.0,40.0,cool,reduced,bright pink,<3,intermittent mild pain,hypomotile,moderate,none,none,4.96612903226,,,36.0,6.6,cloudy,2.8,died,yes
yes,adult,38.1351851852,70.0,16.0,cool,absent,bright red,>=3,depressed,hypomotile,slight,slight,none,4.96612903226,absent,distended large intestine,60.0,7.5,,2.93865546218,died,yes
yes,adult,38.3,40.0,16.0,cool,,,<3,alert no pain,hypomotile,slight,,,4.96612903226,,,38.0,58.0,clear,2.0,lived,yes
yes,adult,38.1351851852,40.0,30.4507575758,warm,normal,normal pink,<3,alert no pain,hypomotile,none,none,none,4.96612903226,,distended large intestine,39.0,56.0,,2.93865546218,lived,yes
yes,adult,36.8,60.0,28.0,,,,,,,,,,4.96612903226,,,45.5872053872,24.9202749141,,10.0,died,yes
yes,adult,38.4,44.0,24.0,cool,,pale cyanotic,,continuous severe pain,absent,moderate,slight,none,4.96612903226,absent,distended large intestine,50.0,77.0,,2.93865546218,lived,yes
no,adult,38.1351851852,70.591503268,40.0,cool,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,,,4.96612903226,,,45.0,70.0,,2.93865546218,lived,no
yes,adult,38.0,44.0,12.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,moderate,slight,none,4.96612903226,absent,distended large intestine,42.0,65.0,,2.93865546218,lived,yes
no,adult,39.5,70.591503268,30.4507575758,cool,reduced,pale cyanotic,>=3,intermittent mild pain,absent,moderate,,<1l,5.5,absent,distended large intestine,45.5872053872,6.7,clear,2.93865546218,euthanized,yes
yes,adult,36.5,78.0,30.0,normal,,normal pink,<3,continuous severe pain,hypomotile,none,,none,4.96612903226,,,34.0,75.0,cloudy,1.0,lived,yes
yes,adult,39.4,54.0,66.0,normal,normal,bright pink,<3,depressed,hypomotile,slight,none,none,4.96612903226,decreased,distended small intestine,39.0,6.0,cloudy,2.93865546218,lived,yes
yes,adult,38.3,80.0,40.0,,,dark cyanotic,>=3,intermittent severe pain,hypomotile,none,,>1l,4.96612903226,normal,distended small intestine,67.0,10.2,cloudy,1.0,euthanized,yes
no,adult,38.7,40.0,28.0,warm,normal,normal pink,<3,intermittent mild pain,hypermotile,none,,,4.96612903226,normal,,39.0,62.0,clear,1.0,lived,no
yes,adult,38.2,64.0,24.0,normal,normal,pale pink,<3,intermittent severe pain,absent,moderate,slight,none,4.96612903226,absent,distended small intestine,45.0,7.5,clear,2.0,died,yes
no,adult,37.6,48.0,20.0,cool,normal,pale cyanotic,<3,alert no pain,hypermotile,moderate,slight,none,4.96612903226,normal,normal,37.0,5.5,,2.93865546218,euthanized,yes
yes,adult,38.0,42.0,68.0,cold,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,slight,>1l,4.96612903226,absent,distended small intestine,41.0,7.6,,2.93865546218,lived,yes
yes,adult,38.7,70.591503268,30.4507575758,cool,normal,pale pink,<3,continuous severe pain,absent,slight,,,4.96612903226,,,33.0,6.5,cloudy,2.93865546218,lived,yes
yes,adult,37.4,50.0,32.0,cool,reduced,,<3,intermittent severe pain,absent,none,slight,none,4.96612903226,normal,,45.0,7.9,cloudy,1.0,lived,yes
yes,adult,37.4,84.0,20.0,,,pale pink,<3,depressed,hypomotile,moderate,,,4.96612903226,,,31.0,61.0,,1.0,euthanized,no
yes,adult,37.8,30.0,12.0,,,,,,,,,,4.96612903226,,,45.5872053872,24.9202749141,,2.93865546218,died,yes
no,adult,37.6,88.0,36.0,cool,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,<1l,1.5,,,44.0,6.0,,2.93865546218,died,yes
,adult,38.0,48.0,20.0,cool,normal,pale pink,<3,intermittent severe pain,hypomotile,none,slight,none,4.96612903226,decreased,distended large intestine,43.0,73.0,cloudy,1.0,,yes
no,adult,37.9,40.0,24.0,normal,normal,normal pink,<3,depressed,hypomotile,none,,,4.96612903226,,firm feces in large intestine,40.0,5.7,,2.93865546218,lived,yes
yes,adult,38.1351851852,100.0,30.4507575758,cool,,pale cyanotic,>=3,continuous severe pain,absent,,slight,,4.96612903226,increased,,59.0,6.3,,2.93865546218,died,yes
yes,young,38.1,136.0,48.0,cool,reduced,pale pink,<3,continuous severe pain,hypermotile,moderate,slight,>1l,4.4,increased,,33.0,4.9,cloudy,2.9,died,yes
yes,adult,38.1351851852,70.591503268,30.4507575758,cool,reduced,pale pink,>=3,continuous severe pain,hypomotile,moderate,significant,>1l,4.96612903226,absent,distended large intestine,46.0,5.9,,2.93865546218,died,yes
yes,adult,38.0,48.0,30.4507575758,normal,normal,normal pink,<3,alert no pain,normal,severe,slight,>1l,4.96612903226,absent,distended large intestine,45.5872053872,24.9202749141,,2.93865546218,lived,yes
no,adult,38.0,56.0,30.4507575758,normal,increased,pale pink,<3,alert no pain,hypermotile,none,none,none,4.96612903226,normal,normal,42.0,71.0,,2.93865546218,lived,no
no,adult,38.0,60.0,32.0,normal,normal,,<3,intermittent mild pain,hypomotile,,none,none,4.96612903226,,,50.0,7.0,clear,1.0,lived,no
yes,adult,38.1,44.0,9.0,cool,normal,normal pink,<3,depressed,normal,none,none,none,4.96612903226,absent,distended large intestine,31.0,7.3,,2.93865546218,lived,no
no,adult,36.0,42.0,30.0,,,bright red,<3,,,,,,4.96612903226,,,64.0,6.8,,2.93865546218,died,no
yes,adult,38.1351851852,120.0,30.4507575758,cold,reduced,dark cyanotic,>=3,continuous severe pain,absent,severe,,,4.96612903226,absent,distended large intestine,57.0,4.5,serosanguinous,3.9,died,yes
yes,adult,37.1,84.0,40.0,cool,reduced,dark cyanotic,<3,depressed,absent,severe,significant,>1l,2.0,absent,distended large intestine,75.0,81.0,,2.93865546218,euthanized,no
yes,adult,38.2,48.0,30.4507575758,normal,reduced,pale pink,<3,intermittent mild pain,absent,severe,none,<1l,2.0,absent,distended large intestine,42.0,71.0,,2.93865546218,lived,yes
no,adult,38.0,44.0,12.0,warm,normal,pale pink,<3,intermittent mild pain,absent,moderate,none,>1l,6.5,normal,distended small intestine,33.0,6.5,,2.93865546218,died,yes
yes,adult,38.3,132.0,30.4507575758,,reduced,dark cyanotic,>=3,depressed,absent,slight,slight,<1l,6.2,absent,distended small intestine,57.0,8.0,,5.2,lived,yes
no,adult,38.7,48.0,24.0,,,,,alert no pain,hypermotile,,none,none,4.96612903226,normal,,34.0,63.0,,2.93865546218,lived,no
no,adult,38.9,44.0,14.0,cool,normal,normal pink,<3,depressed,hypomotile,slight,,,4.96612903226,,other,33.0,64.0,,2.93865546218,lived,no
yes,adult,39.3,70.591503268,30.4507575758,cold,reduced,dark cyanotic,>=3,intermittent severe pain,absent,slight,none,<1l,4.0,absent,distended small intestine,75.0,24.9202749141,serosanguinous,4.3,died,yes
yes,adult,38.1351851852,100.0,30.4507575758,cool,reduced,pale cyanotic,>=3,,absent,severe,slight,none,2.0,,,68.0,64.0,serosanguinous,2.0,lived,yes
no,adult,38.6,48.0,20.0,cool,normal,normal pink,<3,alert no pain,hypomotile,slight,slight,none,4.96612903226,decreased,other,50.0,7.3,clear,2.93865546218,lived,no
no,adult,38.8,48.0,40.0,normal,normal,pale pink,<3,intermittent mild pain,hypomotile,severe,slight,,4.96612903226,,distended large intestine,41.0,65.0,,2.93865546218,lived,yes
no,adult,38.0,48.0,20.0,cool,reduced,pale cyanotic,<3,alert no pain,absent,slight,slight,,5.0,,other,49.0,8.3,clear,2.93865546218,lived,no
no,adult,38.6,52.0,20.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,slight,none,none,4.96612903226,normal,firm feces in large intestine,36.0,6.6,clear,5.0,lived,no
no,adult,38.0,42.0,40.0,cool,normal,normal pink,<3,intermittent mild pain,hypomotile,none,,,4.96612903226,,,45.5872053872,24.9202749141,,2.93865546218,lived,no
no,adult,38.1351851852,70.591503268,12.0,normal,normal,bright pink,<3,depressed,hypermotile,slight,significant,none,4.96612903226,normal,firm feces in large intestine,44.0,7.5,cloudy,2.93865546218,lived,no
yes,adult,38.1351851852,70.591503268,30.4507575758,,,,,intermittent severe pain,,,none,none,4.96612903226,,distended large intestine,35.0,58.0,cloudy,1.0,lived,yes
yes,adult,38.3,42.0,24.0,,,,<3,,,,,,4.96612903226,,,40.0,8.5,,2.93865546218,died,yes
no,adult,39.5,60.0,10.0,cool,,,>=3,intermittent mild pain,hypomotile,slight,slight,none,4.96612903226,decreased,,38.0,56.0,clear,2.93865546218,lived,no
yes,adult,38.0,66.0,20.0,normal,reduced,pale pink,<3,continuous severe pain,hypomotile,none,none,none,4.96612903226,decreased,,46.0,46.0,serosanguinous,2.0,euthanized,yes
yes,adult,38.7,76.0,30.4507575758,normal,normal,bright red,>=3,intermittent mild pain,hypomotile,slight,slight,>1l,4.96612903226,absent,distended small intestine,50.0,8.0,,2.93865546218,lived,yes
yes,adult,39.4,120.0,48.0,,,bright red,<3,,hypomotile,moderate,none,,4.96612903226,absent,,56.0,64.0,clear,2.0,euthanized,no
yes,adult,38.3,40.0,18.0,normal,normal,normal pink,<3,intermittent mild pain,hypermotile,none,,,4.96612903226,increased,normal,43.0,5.9,clear,2.93865546218,lived,no
no,adult,38.1351851852,44.0,24.0,normal,normal,normal pink,<3,intermittent mild pain,hypomotile,none,slight,none,4.96612903226,,normal,45.5872053872,6.3,,2.93865546218,lived,no
yes,adult,38.4,104.0,40.0,normal,normal,pale pink,<3,depressed,absent,slight,slight,<1l,6.5,,distended small intestine,55.0,8.5,,2.93865546218,lived,yes
no,adult,37.5,44.0,20.0,normal,normal,pale pink,<3,,hypermotile,none,,,4.96612903226,normal,,35.0,7.2,,2.93865546218,lived,no
no,adult,39.0,86.0,16.0,cool,reduced,bright red,,intermittent mild pain,hypomotile,moderate,,>1l,4.96612903226,,,68.0,5.8,serosanguinous,6.0,died,yes
yes,adult,38.5,129.0,48.0,cool,reduced,pale pink,<3,depressed,absent,moderate,none,<1l,2.0,,,57.0,66.0,serosanguinous,2.0,lived,yes
yes,adult,38.1351851852,104.0,30.4507575758,cool,reduced,bright red,>=3,depressed,absent,moderate,,<1l,4.96612903226,absent,distended small intestine,69.0,8.6,cloudy,3.4,died,yes
no,adult,38.1351851852,70.591503268,30.4507575758,cool,absent,dark cyanotic,,intermittent severe pain,,severe,,,4.96612903226,,,45.5872053872,24.9202749141,,2.93865546218,died,yes
