word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,word_freq_over,word_freq_remove,word_freq_internet,word_freq_order,word_freq_mail,word_freq_receive,word_freq_will,word_freq_people,word_freq_report,word_freq_addresses,word_freq_free,word_freq_business,word_freq_email,word_freq_you,word_freq_credit,word_freq_your,word_freq_font,word_freq_000,word_freq_money,word_freq_hp,word_freq_hpl,word_freq_george,word_freq_650,word_freq_lab,word_freq_labs,word_freq_telnet,word_freq_857,word_freq_data,word_freq_415,word_freq_85,word_freq_technology,word_freq_1999,word_freq_parts,word_freq_pm,word_freq_direct,word_freq_cs,word_freq_meeting,word_freq_original,word_freq_project,word_freq_re,word_freq_edu,word_freq_table,word_freq_conference,X.char_freq_..3B.,X.char_freq_..28.,X.char_freq_..5B.,X.char_freq_..21.,X.char_freq_..24.,X.char_freq_..23.,capital_run_length_average,capital_run_length_longest,capital_run_length_total,class
[-Inf;0.075],(0.075;1.805],(0.235;1.93],[-Inf;0.56],(0.01;0.345],[-Inf;0.075],[-Inf;0.01],(0.015; Inf],(0.045; Inf],[-Inf;0.045],[-Inf;0.045],(0.245;0.985],(0.115; Inf],[-Inf;0.035],(0.025; Inf],[-Inf;0.04],[-Inf;0.065],(0.015; Inf],(0.805;1.785],(0.075; Inf],(0.605;1.025],[-Inf;0.115],(0.125;0.335],(0.01; Inf],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],(0.015;0.125],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],(0.002;0.1105],[-Inf;0.0325],(0.0045;0.0795],(0.1035; Inf],[-Inf;0.0075],(2.014;3.154],(55.5;251.5],(216.5;723.5],1
[-Inf;0.075],(0.075;1.805],(0.235;1.93],[-Inf;0.56],(0.01;0.345],[-Inf;0.075],[-Inf;0.01],(0.015; Inf],[-Inf;0.045],[-Inf;0.045],(0.045;1.825],(0.245;0.985],[-Inf;0.115],[-Inf;0.035],[-Inf;0.025],(0.135; Inf],(0.065; Inf],(0.015; Inf],(0.015;0.805],[-Inf;0.075],(0.605;1.025],[-Inf;0.115],(0.125;0.335],[-Inf;0.01],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],(0.1105;0.2925],[-Inf;0.0325],(0.0795;0.4145],(0.1035; Inf],[-Inf;0.0075],(2.014;3.154],(18.5;55.5],(723.5; Inf],1
(0.075;1.69],[-Inf;0.075],(0.235;1.93],[-Inf;0.56],[-Inf;0.01],(0.265;2.365],[-Inf;0.01],[-Inf;0.015],[-Inf;0.045],[-Inf;0.045],[-Inf;0.045],(0.245;0.985],(0.115; Inf],[-Inf;0.035],[-Inf;0.025],[-Inf;0.04],(0.065; Inf],(0.015; Inf],(1.785;7.12],[-Inf;0.075],(1.025;6.6],[-Inf;0.115],[-Inf;0.125],(0.01; Inf],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],[-Inf;0.002],[-Inf;0.0325],(0.0795;0.4145],[-Inf;0.0125],[-Inf;0.0075],(1.082;2.014],(18.5;55.5],(91.5;216.5],1
[-Inf;0.075],[-Inf;0.075],[-Inf;0.235],[-Inf;0.56],[-Inf;0.01],[-Inf;0.075],[-Inf;0.01],[-Inf;0.015],[-Inf;0.045],[-Inf;0.045],[-Inf;0.045],[-Inf;0.245],[-Inf;0.115],[-Inf;0.035],[-Inf;0.025],[-Inf;0.04],[-Inf;0.065],[-Inf;0.015],[-Inf;0.015],[-Inf;0.075],[-Inf;0.255],[-Inf;0.115],[-Inf;0.125],[-Inf;0.01],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],[-Inf;0.002],[-Inf;0.0325],(0.4145; Inf],[-Inf;0.0125],[-Inf;0.0075],[-Inf;1.082],[-Inf;5.5],[-Inf;14.5],1
[-Inf;0.075],[-Inf;0.075],(0.235;1.93],[-Inf;0.56],(0.345; Inf],[-Inf;0.075],[-Inf;0.01],[-Inf;0.015],[-Inf;0.045],[-Inf;0.045],[-Inf;0.045],(0.245;0.985],[-Inf;0.115],[-Inf;0.035],[-Inf;0.025],[-Inf;0.04],[-Inf;0.065],[-Inf;0.015],(1.785;7.12],(0.075; Inf],(1.025;6.6],[-Inf;0.115],[-Inf;0.125],(0.01; Inf],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],[-Inf;0.002],[-Inf;0.0325],(0.4145; Inf],(0.0555;0.1035],[-Inf;0.0075],(3.154;4.8125],(18.5;55.5],(91.5;216.5],1
[-Inf;0.075],[-Inf;0.075],[-Inf;0.235],[-Inf;0.56],(0.345; Inf],[-Inf;0.075],[-Inf;0.01],[-Inf;0.015],[-Inf;0.045],[-Inf;0.045],[-Inf;0.045],[-Inf;0.245],[-Inf;0.115],[-Inf;0.035],[-Inf;0.025],[-Inf;0.04],[-Inf;0.065],[-Inf;0.015],(1.785;7.12],[-Inf;0.075],(1.025;6.6],[-Inf;0.115],[-Inf;0.125],[-Inf;0.01],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],[-Inf;0.002],[-Inf;0.0325],(0.4145; Inf],[-Inf;0.0125],[-Inf;0.0075],(4.8125; Inf],(18.5;55.5],(52.5;91.5],1
[-Inf;0.075],(0.075;1.805],[-Inf;0.235],[-Inf;0.56],[-Inf;0.01],[-Inf;0.075],(0.01; Inf],[-Inf;0.015],[-Inf;0.045],[-Inf;0.045],[-Inf;0.045],[-Inf;0.245],[-Inf;0.115],[-Inf;0.035],[-Inf;0.025],(0.135; Inf],(0.065; Inf],[-Inf;0.015],[-Inf;0.015],[-Inf;0.075],(1.025;6.6],[-Inf;0.115],[-Inf;0.125],[-Inf;0.01],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],(0.105; Inf],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],(0.2925; Inf],[-Inf;0.0325],(0.4145; Inf],(0.1035; Inf],(0.0355; Inf],(4.8125; Inf],(55.5;251.5],(91.5;216.5],1
[-Inf;0.075],[-Inf;0.075],[-Inf;0.235],[-Inf;0.56],[-Inf;0.01],[-Inf;0.075],[-Inf;0.01],[-Inf;0.015],(0.045; Inf],[-Inf;0.045],[-Inf;0.045],[-Inf;0.245],[-Inf;0.115],[-Inf;0.035],[-Inf;0.025],[-Inf;0.04],[-Inf;0.065],[-Inf;0.015],(0.805;1.785],[-Inf;0.075],(1.025;6.6],[-Inf;0.115],[-Inf;0.125],[-Inf;0.01],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],(0.1105;0.2925],[-Inf;0.0325],(0.4145; Inf],[-Inf;0.0125],[-Inf;0.0075],(2.014;3.154],(18.5;55.5],(52.5;91.5],1
[-Inf;0.075],(0.075;1.805],(0.235;1.93],[-Inf;0.56],(0.345; Inf],[-Inf;0.075],[-Inf;0.01],[-Inf;0.015],[-Inf;0.045],[-Inf;0.045],[-Inf;0.045],[-Inf;0.245],[-Inf;0.115],[-Inf;0.035],[-Inf;0.025],(0.135; Inf],[-Inf;0.065],[-Inf;0.015],(0.805;1.785],[-Inf;0.075],[-Inf;0.255],[-Inf;0.115],[-Inf;0.125],[-Inf;0.01],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],(0.1105;0.2925],[-Inf;0.0325],(0.4145; Inf],[-Inf;0.0125],[-Inf;0.0075],(2.014;3.154],(18.5;55.5],(91.5;216.5],1
[-Inf;0.075],[-Inf;0.075],[-Inf;0.235],[-Inf;0.56],[-Inf;0.01],[-Inf;0.075],[-Inf;0.01],[-Inf;0.015],(0.045; Inf],[-Inf;0.045],[-Inf;0.045],[-Inf;0.245],[-Inf;0.115],[-Inf;0.035],[-Inf;0.025],[-Inf;0.04],[-Inf;0.065],[-Inf;0.015],(0.805;1.785],[-Inf;0.075],(1.025;6.6],[-Inf;0.115],[-Inf;0.125],[-Inf;0.01],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],(0.1105;0.2925],[-Inf;0.0325],(0.4145; Inf],[-Inf;0.0125],[-Inf;0.0075],(2.014;3.154],(18.5;55.5],(52.5;91.5],1
[-Inf;0.075],(0.075;1.805],[-Inf;0.235],[-Inf;0.56],(0.345; Inf],(0.265;2.365],(0.01; Inf],[-Inf;0.015],(0.045; Inf],[-Inf;0.045],(0.045;1.825],(0.245;0.985],(0.115; Inf],[-Inf;0.035],[-Inf;0.025],(0.135; Inf],(0.065; Inf],(0.015; Inf],(0.015;0.805],[-Inf;0.075],(0.255;0.605],[-Inf;0.115],[-Inf;0.125],[-Inf;0.01],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],(0.0725; Inf],(0.002;0.1105],[-Inf;0.0325],(0.0795;0.4145],(0.0555;0.1035],(0.0075;0.0355],(2.014;3.154],(18.5;55.5],(216.5;723.5],1
[-Inf;0.075],[-Inf;0.075],[-Inf;0.235],[-Inf;0.56],[-Inf;0.01],[-Inf;0.075],[-Inf;0.01],[-Inf;0.015],[-Inf;0.045],[-Inf;0.045],[-Inf;0.045],[-Inf;0.245],[-Inf;0.115],[-Inf;0.035],[-Inf;0.025],[-Inf;0.04],[-Inf;0.065],[-Inf;0.015],[-Inf;0.015],[-Inf;0.075],[-Inf;0.255],[-Inf;0.115],[-Inf;0.125],[-Inf;0.01],[-Inf;0.12],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],[-Inf;0.145],[-Inf;0.195],[-Inf;0.025],[-Inf;0.105],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],[-Inf;0.002],[-Inf;0.0325],[-Inf;0.0045],[-Inf;0.0125],[-Inf;0.0075],(1.082;2.014],[-Inf;5.5],(14.5;52.5],1
[-Inf;0.075],[-Inf;0.075],[-Inf;0.235],[-Inf;0.56],(0.01;0.345],[-Inf;0.075],(0.01; Inf],[-Inf;0.015],(0.045; Inf],(0.045;2.1],(0.045;1.825],[-Inf;0.245],[-Inf;0.115],[-Inf;0.035],[-Inf;0.025],(0.135; Inf],[-Inf;0.065],(0.015; Inf],(0.805;1.785],[-Inf;0.075],[-Inf;0.255],[-Inf;0.115],[-Inf;0.125],[-Inf;0.01],(0.12;1.495],[-Inf;0.12],[-Inf;0.005],[-Inf;0.01],[-Inf;0.125],[-Inf;0.125],[-Inf;0.045],[-Inf;0.045],[-Inf;0.085],(0.145; Inf],[-Inf;0.195],[-Inf;0.025],(0.105; Inf],[-Inf; Inf],[-Inf;0.115],[-Inf;1.67],[-Inf;0.01],[-Inf;0.455],[-Inf;0.245],[-Inf;0.085],[-Inf;0.015],[-Inf;0.05],[-Inf; Inf],[-Inf;0.01],[-Inf;0.0725],(0.002;0.1105],[-Inf;0.0325],(0.4145; Inf],(0.1035; Inf],[-Inf;0.0075],(3.154;4.8125],(18.5;55.5],(723.5; Inf],1
