CIRCULARITY,ELONGATEDNESS,HOLLOWS RATIO,MAX.LENGTH RECTANGULARITY,SKEWNESS ABOUT_MINOR,PR.AXIS ASPECT RATIO,KURTOSIS ABOUT_MAJOR,SKEWNESS ABOUT_MAJOR,PR.AXIS RECTANGULARITY,SCATTER RATIO,SCALED VARIANCE_MAJOR,SCALED VARIANCE_MINOR,COMPACTNESS,RADIUS RATIO,SCALED RADIUS OF GYRATION,MAX.LENGTH ASPECT RATIO,DISTANCE CIRCULARITY,KURTOSIS ABOUT_MINOR,Class
40.5_to_49.5,41.5_to_46.5,189.5_to_inf,134.5_to_148.5,9.5_to_inf,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,64.5_to_76.5,185.5_to_191.5,bus
40.5_to_49.5,41.5_to_46.5,189.5_to_inf,134.5_to_148.5,9.5_to_inf,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,19.5_to_20.5,154.5_to_163.5,180.5_to_206.5,347.5_to_387.5,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,-inf_to_7.5,64.5_to_76.5,185.5_to_191.5,opel
-inf_to_40.5,41.5_to_46.5,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,19.5_to_20.5,154.5_to_163.5,180.5_to_206.5,347.5_to_387.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,76.5_to_92.5,185.5_to_191.5,saab
54.5_to_inf,29.5_to_41.5,189.5_to_inf,171.5_to_inf,9.5_to_inf,68.5_to_86.5,-inf_to_17.5,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,106.5_to_inf,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,saab
40.5_to_49.5,41.5_to_46.5,-inf_to_189.5,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,76.5_to_inf,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,7.5_to_8.5,64.5_to_76.5,181.5_to_185.5,bus
-inf_to_40.5,29.5_to_41.5,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,19.5_to_20.5,154.5_to_163.5,180.5_to_206.5,387.5_to_577.0,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,76.5_to_92.5,181.5_to_185.5,opel
54.5_to_inf,29.5_to_41.5,189.5_to_inf,171.5_to_inf,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,721.5_to_761.0,98.5_to_106.5,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,opel
40.5_to_49.5,41.5_to_46.5,-inf_to_189.5,148.5_to_171.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,76.5_to_inf,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,347.5_to_387.5,-inf_to_82.5,-inf_to_175.5,192.5_to_241.5,-inf_to_7.5,64.5_to_76.5,181.5_to_185.5,bus
40.5_to_49.5,41.5_to_46.5,189.5_to_inf,134.5_to_148.5,9.5_to_inf,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,-inf_to_18.5,140.5_to_154.5,-inf_to_165.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,-inf_to_7.5,64.5_to_76.5,191.5_to_inf,bus
49.5_to_54.5,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,9.5_to_inf,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,106.5_to_inf,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,saab
40.5_to_49.5,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,9.5_to_inf,52.5_to_68.5,-inf_to_17.5,-inf_to_64.5,19.5_to_20.5,163.5_to_230.5,180.5_to_206.5,387.5_to_577.0,82.5_to_98.5,175.5_to_234.5,169.5_to_192.5,7.5_to_8.5,76.5_to_92.5,191.5_to_inf,saab
40.5_to_49.5,41.5_to_46.5,189.5_to_inf,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,18.5_to_19.5,154.5_to_163.5,180.5_to_206.5,347.5_to_387.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,64.5_to_76.5,185.5_to_191.5,bus
-inf_to_40.5,29.5_to_41.5,189.5_to_inf,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,180.5_to_206.5,387.5_to_577.0,82.5_to_98.5,175.5_to_234.5,-inf_to_169.5,8.5_to_16.0,92.5_to_inf,191.5_to_inf,saab
-inf_to_40.5,46.5_to_inf,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,-inf_to_64.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,7.5_to_8.5,64.5_to_76.5,191.5_to_inf,van
40.5_to_49.5,41.5_to_46.5,-inf_to_189.5,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,76.5_to_inf,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,7.5_to_8.5,64.5_to_76.5,177.5_to_181.5,bus
40.5_to_49.5,41.5_to_46.5,189.5_to_inf,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,-inf_to_7.5,64.5_to_76.5,185.5_to_191.5,bus
40.5_to_49.5,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,106.5_to_inf,175.5_to_234.5,-inf_to_169.5,8.5_to_16.0,92.5_to_inf,191.5_to_inf,opel
40.5_to_49.5,46.5_to_inf,189.5_to_inf,134.5_to_148.5,9.5_to_inf,52.5_to_68.5,-inf_to_17.5,-inf_to_64.5,-inf_to_18.5,140.5_to_154.5,-inf_to_165.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,7.5_to_8.5,76.5_to_92.5,191.5_to_inf,van
-inf_to_40.5,46.5_to_inf,189.5_to_inf,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,64.5_to_76.5,181.5_to_185.5,opel
40.5_to_49.5,41.5_to_46.5,-inf_to_189.5,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,-inf_to_7.5,64.5_to_76.5,181.5_to_185.5,bus
40.5_to_49.5,29.5_to_41.5,189.5_to_inf,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,387.5_to_577.0,98.5_to_106.5,175.5_to_234.5,-inf_to_169.5,7.5_to_8.5,76.5_to_92.5,185.5_to_191.5,saab
40.5_to_49.5,41.5_to_46.5,189.5_to_inf,148.5_to_171.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,8.5_to_16.0,76.5_to_92.5,185.5_to_191.5,van
40.5_to_49.5,41.5_to_46.5,-inf_to_189.5,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,76.5_to_inf,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,-inf_to_82.5,-inf_to_175.5,169.5_to_192.5,-inf_to_7.5,64.5_to_76.5,177.5_to_181.5,bus
49.5_to_54.5,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,387.5_to_577.0,98.5_to_106.5,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,191.5_to_inf,saab
-inf_to_40.5,41.5_to_46.5,-inf_to_189.5,-inf_to_134.5,9.5_to_inf,-inf_to_52.5,-inf_to_17.5,76.5_to_inf,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,64.5_to_76.5,177.5_to_181.5,opel
-inf_to_40.5,46.5_to_inf,189.5_to_inf,134.5_to_148.5,9.5_to_inf,52.5_to_68.5,-inf_to_17.5,-inf_to_64.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,7.5_to_8.5,-inf_to_64.5,191.5_to_inf,van
-inf_to_40.5,46.5_to_inf,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,-inf_to_18.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,7.5_to_8.5,64.5_to_76.5,185.5_to_191.5,van
49.5_to_54.5,29.5_to_41.5,189.5_to_inf,171.5_to_inf,9.5_to_inf,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,106.5_to_inf,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,saab
54.5_to_inf,29.5_to_41.5,189.5_to_inf,171.5_to_inf,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,721.5_to_761.0,98.5_to_106.5,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,opel
-inf_to_40.5,29.5_to_41.5,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,19.5_to_20.5,154.5_to_163.5,180.5_to_206.5,387.5_to_577.0,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,76.5_to_92.5,191.5_to_inf,opel
-inf_to_40.5,41.5_to_46.5,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,-inf_to_64.5,19.5_to_20.5,154.5_to_163.5,165.5_to_180.5,347.5_to_387.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,8.5_to_16.0,64.5_to_76.5,191.5_to_inf,saab
-inf_to_40.5,46.5_to_inf,189.5_to_inf,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,-inf_to_64.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,7.5_to_8.5,64.5_to_76.5,191.5_to_inf,van
40.5_to_49.5,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,-inf_to_9.5,68.5_to_86.5,17.5_to_inf,64.5_to_76.5,19.5_to_20.5,163.5_to_230.5,180.5_to_206.5,387.5_to_577.0,82.5_to_98.5,175.5_to_234.5,169.5_to_192.5,-inf_to_7.5,64.5_to_76.5,191.5_to_inf,bus
40.5_to_49.5,46.5_to_inf,-inf_to_189.5,134.5_to_148.5,9.5_to_inf,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,-inf_to_64.5,185.5_to_191.5,van
54.5_to_inf,29.5_to_41.5,189.5_to_inf,171.5_to_inf,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,98.5_to_106.5,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,saab
40.5_to_49.5,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,98.5_to_106.5,175.5_to_234.5,169.5_to_192.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,opel
-inf_to_40.5,46.5_to_inf,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,7.5_to_8.5,64.5_to_76.5,191.5_to_inf,van
49.5_to_54.5,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,9.5_to_inf,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,98.5_to_106.5,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,saab
-inf_to_40.5,46.5_to_inf,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,7.5_to_8.5,64.5_to_76.5,181.5_to_185.5,opel
-inf_to_40.5,46.5_to_inf,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,-inf_to_82.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,64.5_to_76.5,181.5_to_185.5,opel
-inf_to_40.5,46.5_to_inf,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,8.5_to_16.0,64.5_to_76.5,185.5_to_191.5,opel
-inf_to_40.5,46.5_to_inf,-inf_to_189.5,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,76.5_to_inf,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,-inf_to_64.5,177.5_to_181.5,saab
-inf_to_40.5,46.5_to_inf,-inf_to_189.5,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,76.5_to_inf,-inf_to_18.5,-inf_to_140.5,-inf_to_165.5,-inf_to_298.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,-inf_to_64.5,177.5_to_181.5,van
54.5_to_inf,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,9.5_to_inf,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,106.5_to_inf,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,opel
-inf_to_40.5,41.5_to_46.5,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,76.5_to_92.5,185.5_to_191.5,saab
40.5_to_49.5,41.5_to_46.5,189.5_to_inf,148.5_to_171.5,9.5_to_inf,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,19.5_to_20.5,154.5_to_163.5,165.5_to_180.5,347.5_to_387.5,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,8.5_to_16.0,76.5_to_92.5,181.5_to_185.5,van
40.5_to_49.5,41.5_to_46.5,189.5_to_inf,148.5_to_171.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,19.5_to_20.5,154.5_to_163.5,165.5_to_180.5,387.5_to_577.0,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,8.5_to_16.0,76.5_to_92.5,181.5_to_185.5,van
40.5_to_49.5,29.5_to_41.5,189.5_to_inf,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,82.5_to_98.5,175.5_to_234.5,192.5_to_241.5,-inf_to_7.5,76.5_to_92.5,191.5_to_inf,bus
54.5_to_inf,29.5_to_41.5,189.5_to_inf,171.5_to_inf,-inf_to_9.5,68.5_to_86.5,-inf_to_17.5,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,721.5_to_761.0,98.5_to_106.5,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,opel
49.5_to_54.5,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,-inf_to_9.5,68.5_to_86.5,17.5_to_inf,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,98.5_to_106.5,175.5_to_234.5,169.5_to_192.5,-inf_to_7.5,76.5_to_92.5,191.5_to_inf,bus
40.5_to_49.5,41.5_to_46.5,189.5_to_inf,148.5_to_171.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,76.5_to_inf,19.5_to_20.5,154.5_to_163.5,165.5_to_180.5,347.5_to_387.5,82.5_to_98.5,-inf_to_175.5,169.5_to_192.5,8.5_to_16.0,64.5_to_76.5,181.5_to_185.5,van
40.5_to_49.5,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,106.5_to_inf,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,saab
49.5_to_54.5,29.5_to_41.5,189.5_to_inf,148.5_to_171.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,239.0_to_inf,721.5_to_761.0,98.5_to_106.5,175.5_to_234.5,192.5_to_241.5,8.5_to_16.0,92.5_to_inf,185.5_to_191.5,opel
49.5_to_54.5,29.5_to_41.5,-inf_to_189.5,148.5_to_171.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,76.5_to_inf,20.5_to_25.5,163.5_to_230.5,206.5_to_239.0,577.0_to_721.5,98.5_to_106.5,175.5_to_234.5,192.5_to_241.5,-inf_to_7.5,92.5_to_inf,185.5_to_191.5,bus
-inf_to_40.5,41.5_to_46.5,189.5_to_inf,-inf_to_134.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,64.5_to_76.5,191.5_to_inf,bus
40.5_to_49.5,41.5_to_46.5,-inf_to_189.5,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,-inf_to_17.5,76.5_to_inf,18.5_to_19.5,140.5_to_154.5,165.5_to_180.5,298.5_to_347.5,-inf_to_82.5,-inf_to_175.5,169.5_to_192.5,-inf_to_7.5,64.5_to_76.5,177.5_to_181.5,bus
-inf_to_40.5,29.5_to_41.5,189.5_to_inf,134.5_to_148.5,-inf_to_9.5,52.5_to_68.5,17.5_to_inf,64.5_to_76.5,20.5_to_25.5,163.5_to_230.5,180.5_to_206.5,387.5_to_577.0,82.5_to_98.5,-inf_to_175.5,-inf_to_169.5,-inf_to_7.5,76.5_to_92.5,185.5_to_191.5,saab
